number_of_post,number_of_follower,number_of_following,type_of_page,bio
8299,698000000,262,Discover what's new on Instagram 🔎✨,
2018,4099999,1,BOYNEXTDOOR Official Instagram,
1086,9100000,1,BABYMONSTER Official Instagram,
176,20800000,0,🏓MARTY SUPREME🏓,
574,3600000,2156,"think deep, don’t sink.",
1132,21200000,3,ENHYPEN Official Instagram,"엔하이픈 공식 인스타그램
Bad Desire (With or Without You) Official MV"
108,2300000,315,Sports,Athlete
936,21800000,205,"A safe space for businesses to laugh, cry, learn and thrive on Instagram 👁️👄",
7227,1400000,13,BUSbecauseofyouishine Official Account Follow us on YouTube  Facebook  Instagram / TikTok / Weibo bus.becauseofyouishine,
1331,88700000,0,Unknown,
2916,21500000,310,Community,A creator’s guide to Instagram... by Instagram
29,18400000,0,Unknown,
50,355000,74,Youtuber having 1.2M subscriber's!🙏,"Fan of my son!🧿 Engineer by profession, Creator by choice.❤️
Business"
425,16800000,622,I build stuff,
45,5100000,0,Unknown,
67,3600000,1,Actor,Keep quiet & let your work do the talking.
581,2700000,870,Artist,"🇺🇸🇩🇴
•Tyngsboro MA📍"
1009,4300000,1068,Musician/band,This Is How Tomorrow Moves
3507,3400000,7,Musician/band,NCT WISH COLOR - The 3rd Mini Album
450,4600000,0,Unknown,
1419,2700000,2591,Discover design through the eyes of creators,
121,10000000,1076,Text,
321,640000,99,Artist,"POWER ☄️ OUT NOWv1st Mini Album GATHER (JST) Release 
1st LIVE TOUR – GATHER – Announced"
1477,1800000,1061,All the emerging brands you need to know,By Instagram 🫶
2569,4600000,3,RIIZE 라이즈 The 2nd Japan Single,
998,4000000,481,On & off the court 🎾🐯,
89,1300000,283,Sportsperson,
0,76400000,1,Unknown,
499,386000,526,Digital creator,"Lê-se Rai ninna
Rio de Janeiro
Cabelo • Beleza • Autocuidado"
1456,22300000,1377,Formula 1 driver,
61,43800000,393,Reel creator,
423,13200000,396,U wanna part,
277,1400000,2022,Reel creator,"I apologize in advance
LA/Miami
UPenn alum
Business: asher"
1257,58500000,736,Unknown,
332,3000000,1912,Unknown,
764,725000,896,Public figure,🏒Artist
450,253000,846,⚽️ Football content creator,📍 Paris
994,7900000,1645,A Matter of Time out now 🕰,
140,187000,200,Artist,"♡ cute & creepy ♡
tattoos • makeup • art
• El Centro, Ca"
218,299000,692,Dancer,LA
83,1300000,1799,I sing and write songs ♥️🇺🇸🇰🇷🎧,forever Honeys mom🐾
986,826000,784,Reel creator,Global Creator🇰🇷
743,280000,346,Art,"Oil portraiture painting
COMMISSIONS ARE OPEN"
661,32600000,194,Artist,TINA SN❄️W
784,419000,1485,Athlete,Proving that dreams can be real
